X1,X2,X3,X4
44.77,87.52,34.45,46.82
59.00,75.96,70.94,61.97
73.54,80.53,41.43,63.76
89.64,79.58,42.69,63.16
86.31,68.01,50.05,48.51
71.14,70.01,23.52,38.61
58.54,87.36,119.76,111.92
80.25,75.92,47.99,57.98
63.09,63.55,24.95,50.78
66.84,79.39,29.57,36.93
55.16,68.71,91.64,58.74
82.58,80.41,76.31,42.85
61.08,71.40,58.21,115.27
88.36,62.30,40.80,46.06
45.03,96.22,61.69,49.30
64.88,68.29,26.69,49.43
73.62,70.15,95.53,112.87
68.53,93.91,37.86,60.55
47.76,64.51,70.50,68.66
48.62,84.79,24.84,41.63
53.74,82.54,31.51,99.47
43.80,75.46,37.01,76.16
45.14,81.98,123.65,114.96
76.16,90.75,147.01,111.45
70.93,87.57,96.04,54.10
80.98,72.21,45.59,117.38
72.01,72.74,50.71,55.31
91.06,82.31,56.88,47.97
69.79,62.44,49.10,107.86
66.04,90.18,66.34,112.30
48.19,81.57,25.16,52.09
67.69,55.21,80.06,113.45
83.18,72.22,32.34,117.10
89.90,64.09,86.78,104.79
52.17,80.23,69.69,115.36
69.95,86.41,65.07,122.91
50.54,79.59,152.22,61.87
55.94,95.09,62.25,63.95
38.20,68.46,78.98,46.88
87.99,69.46,34.32,116.03
71.34,93.04,28.67,62.96
58.10,107.90,104.40,39.60
84.50,93.93,72.25,52.10
84.06,73.80,41.71,47.80
64.39,90.45,37.13,54.99
72.52,60.11,92.37,97.74
77.17,95.21,36.36,108.43
59.61,90.94,38.41,125.14
78.10,71.47,166.54,111.40
39.99,88.69,46.32,101.63
44.16,90.79,94.72,65.52
59.07,79.12,97.54,108.53
82.10,87.97,43.55,48.20
41.59,75.91,27.18,46.17
40.82,85.80,84.61,117.06
41.97,88.80,91.28,49.90
74.66,91.63,39.32,109.82
66.22,60.80,52.97,55.20
76.77,90.91,44.07,116.13
71.16,97.80,47.88,38.93
85.55,91.51,31.48,110.62
78.76,77.89,121.01,109.50
91.20,87.61,28.39,115.88
74.27,95.83,103.40,52.82
89.04,80.95,35.60,127.03
83.93,86.66,47.85,53.10
69.38,103.55,43.04,59.15
51.32,71.06,68.31,40.91
38.86,88.99,50.11,56.92
61.50,91.75,116.45,104.48
59.71,69.25,44.51,117.33
57.94,82.31,35.87,45.48
72.68,81.29,74.99,108.49
61.73,80.16,55.88,106.50
54.59,76.61,54.74,114.71
80.46,86.11,91.74,50.68
37.25,85.00,23.84,36.05
58.38,98.55,42.12,48.65
61.81,86.54,37.58,110.30
86.75,80.19,63.64,50.35
74.54,79.62,57.65,112.99
41.17,68.20,72.13,114.89
61.77,89.50,64.05,52.51
78.34,70.70,36.97,60.53
51.65,77.83,64.25,57.39
80.63,79.75,120.29,60.34
84.67,93.45,30.58,53.58
83.73,100.95,65.16,104.33
63.46,76.72,55.58,117.64
66.53,45.74,60.02,93.90
45.95,84.15,66.76,62.10
46.31,78.11,34.45,39.68
72.56,85.00,107.50,54.07
76.52,82.91,83.57,118.72
38.47,82.68,118.80,110.06
76.04,92.46,30.75,59.75
91.90,86.73,30.08,111.98
69.16,63.94,26.70,105.89
62.35,82.55,58.25,106.51
77.44,71.03,70.85,32.77
55.65,62.98,122.57,109.48
36.97,44.56,25.77,111.61
86.15,63.81,66.81,115.87
69.05,80.60,33.69,116.82
61.70,99.71,64.36,110.19
85.44,69.65,70.61,109.39
63.56,56.50,95.29,56.91
48.67,73.27,39.96,50.47
78.59,69.58,176.87,126.14
52.66,55.25,147.24,53.90
57.10,74.46,36.30,55.84
64.26,74.98,38.95,114.44
71.99,85.54,30.40,50.13
67.91,94.14,97.19,60.31
88.83,124.33,26.08,44.02
81.72,61.34,73.79,109.68
77.20,89.22,51.17,109.50
74.54,89.69,54.86,59.28
69.32,85.04,30.48,55.41
89.79,58.23,52.81,51.03
45.85,82.55,52.34,50.11
40.72,92.45,42.88,60.28
40.83,79.37,92.01,95.77
84.21,72.31,49.17,110.07
83.03,68.51,89.67,46.17
81.38,80.03,178.71,108.70
58.19,85.89,24.71,107.78
89.10,70.89,67.58,49.02
73.86,56.97,34.93,94.31
40.78,105.62,86.44,116.60
48.21,94.53,43.18,109.23
82.33,74.30,26.11,45.02
85.94,107.44,45.35,98.09
52.68,66.05,40.27,44.78
81.37,95.57,29.65,65.37
60.44,62.45,71.89,119.38
76.16,62.59,36.08,116.40
59.52,65.05,119.39,115.86
60.12,90.46,27.87,122.22
83.01,82.53,64.02,107.10
70.67,88.24,122.91,111.14
75.42,100.74,26.97,118.53
89.68,77.23,62.94,62.20
68.78,81.12,60.39,109.49
61.54,73.90,63.94,54.01
47.45,71.40,28.07,63.12
56.73,78.84,86.10,102.74
49.68,79.40,110.65,57.39
47.17,93.86,105.33,42.16
58.73,71.90,41.17,56.57
65.20,96.84,28.23,32.32
78.19,70.98,45.56,130.04
45.87,82.06,82.98,38.68
83.32,49.71,35.33,60.65
39.51,52.23,63.07,104.82
54.18,95.59,115.37,118.23
41.36,72.23,30.70,99.51
72.07,63.68,65.57,43.80
67.13,67.06,25.18,53.69
75.26,52.62,84.40,113.49
69.27,81.68,59.71,45.11
52.19,66.73,29.07,66.96
44.75,59.85,58.08,47.82
60.27,78.04,94.15,100.83
41.24,46.66,28.70,105.59
63.53,86.29,51.80,55.33
47.15,83.54,37.07,60.46
60.87,72.85,31.23,55.08
50.46,93.05,86.00,97.39
39.31,78.06,24.00,99.07
54.60,69.24,41.78,132.22
91.95,107.35,84.48,57.63
83.56,59.65,27.81,106.38
61.09,96.84,26.93,48.89
44.49,79.49,42.80,47.59
80.37,67.01,26.63,53.73
54.35,57.00,25.78,99.72
79.80,94.27,84.81,94.81
53.40,97.26,103.16,110.64
85.36,68.14,54.67,52.50
81.66,80.97,30.91,38.70
38.60,52.48,70.84,91.73
86.84,101.92,51.07,50.76
84.79,75.76,24.56,125.97
91.17,71.96,44.94,129.06
49.27,100.88,43.66,95.63
38.26,92.55,29.24,118.61
56.73,50.91,27.89,62.05
45.19,69.82,42.55,104.67
86.36,85.84,66.65,105.90
61.25,93.74,24.98,64.33
64.57,44.98,38.47,102.88
47.32,76.34,39.75,110.85
42.40,83.73,43.27,107.40
67.02,97.13,144.33,111.56
58.02,97.05,70.68,58.82
53.36,85.50,141.67,49.41
84.40,95.87,25.13,115.13
82.60,71.70,24.70,107.65
71.22,91.48,24.31,108.50
