X1,X2,X3,X4
63.43,42.13,36.27,30.18
110.91,57.97,64.28,101.14
30.04,40.10,28.08,42.99
141.52,53.53,33.81,98.27
32.72,33.15,32.35,95.14
49.93,42.64,83.17,34.29
26.85,60.71,88.28,101.58
97.63,41.79,63.78,31.50
55.29,47.30,74.62,27.87
73.10,47.50,34.43,36.29
153.28,15.12,75.10,93.42
120.31,64.06,41.34,28.45
100.70,41.43,54.66,94.12
105.01,42.85,86.96,96.18
65.90,70.78,26.63,31.35
46.34,28.18,78.30,29.93
47.35,29.33,21.80,31.10
15.85,59.75,88.00,30.28
59.72,58.33,41.17,20.22
194.42,65.23,56.92,41.29
64.31,43.11,26.74,20.15
73.13,42.48,53.12,96.45
32.04,44.53,27.52,30.09
104.05,42.17,81.65,36.29
18.33,45.98,41.68,87.42
50.50,39.35,56.70,94.42
47.92,27.30,39.88,32.20
69.28,39.56,41.73,86.68
14.08,42.59,29.59,31.41
53.10,39.58,67.37,94.42
92.35,57.71,25.19,28.45
162.76,34.65,25.42,93.99
29.22,49.77,50.49,95.37
97.83,28.65,25.60,32.77
26.92,42.33,27.99,25.10
24.48,65.07,78.02,81.13
25.76,68.63,28.94,21.55
31.65,47.21,68.12,89.27
29.38,54.74,74.29,98.99
22.91,28.63,40.16,25.85
37.97,29.66,81.17,83.04
90.28,55.13,54.37,34.42
146.32,38.45,65.28,34.99
78.99,46.97,34.32,27.67
74.05,52.73,86.73,21.98
57.33,45.69,75.43,92.48
47.88,35.19,74.38,98.12
17.60,48.55,37.30,87.48
54.96,47.70,77.00,93.90
81.13,42.16,73.29,35.04
17.27,43.61,54.19,19.49
73.58,45.10,39.91,26.77
33.19,41.49,40.76,41.96
190.09,51.94,52.42,34.93
197.98,45.41,58.10,29.37
20.95,41.91,67.87,26.70
87.05,29.82,84.24,28.94
40.82,47.65,66.57,105.35
16.43,50.73,60.81,35.08
49.58,47.82,23.93,84.58
64.32,28.69,77.46,98.44
20.44,26.08,80.50,90.38
55.92,43.38,59.96,20.07
16.38,40.13,32.26,37.22
81.25,62.31,55.03,24.04
61.32,35.55,64.85,30.22
41.72,38.54,64.33,41.97
34.99,26.81,38.64,30.65
45.43,34.21,35.64,91.03
25.88,58.27,56.78,32.59
69.50,40.75,50.24,95.17
100.32,32.75,32.91,46.77
83.71,32.45,32.18,90.26
39.85,61.69,57.89,28.78
125.93,59.26,42.94,29.70
36.29,46.27,68.51,93.32
72.37,73.06,34.54,95.33
17.42,44.89,85.66,37.46
55.04,49.18,62.65,81.04
24.72,52.07,47.47,27.90
62.85,39.11,31.85,21.95
58.22,63.68,33.10,34.40
28.10,37.72,55.91,89.75
24.83,61.50,34.56,36.86
35.38,36.89,32.39,88.55
88.87,43.87,71.62,90.97
79.69,47.80,69.89,79.19
35.08,32.22,50.40,43.12
102.90,41.43,47.56,29.55
309.74,40.39,66.34,98.84
26.11,45.47,84.54,92.53
24.30,51.77,39.96,35.96
43.45,54.53,23.01,23.86
54.84,43.07,40.68,105.87
36.94,26.86,26.82,43.70
35.83,49.16,28.70,35.99
84.47,38.76,40.20,88.37
20.46,43.18,61.47,30.28
53.12,35.11,86.44,34.97
