i,x,y
1,2.0016,2.2764
2,2.0525,-0.5495
3,2.4741,1.4127
4,2.6482,-0.1272
5,2.8584,0.9206
6,3.4765,0.1657
7,3.5725,-0.1315
8,3.7578,-1.8581
9,3.9470,-2.5540
10,4.0205,-0.3421
11,4.1819,-0.8197
12,4.4176,-0.5606
13,5.0805,-0.4812
14,5.1735,-0.6394
15,5.2515,-2.9748
16,5.2617,-0.8575
17,5.5196,-1.3149
18,5.8274,-1.1604
19,5.8493,-1.5649
20,6.5956,-0.8225
21,6.7394,-2.6105
22,6.8201,-1.9404
23,7.0663,-2.1262
24,7.3654,-3.1121
25,7.4485,-2.4879
26,7.9157,-2.5422
27,8.0208,-2.3972
28,8.1675,-4.3492
29,8.2510,-5.0899
30,8.6131,-4.7360
31,8.8126,-2.6570
32,8.9616,-4.0206
33,9.1694,-6.2229
34,9.3062,-5.2113
35,9.7490,-5.3387
36,9.9138,-4.2151
37,10.1398,-4.4793
38,10.1726,-4.3817
39,10.5974,-5.5552
40,11.0031,-6.7192
41,11.1178,-6.2330
42,11.1553,-4.8272
43,11.6389,-7.5373
44,11.8551,-8.3722
45,12.1205,-6.2467
